artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,2019-09-06,90,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,2019-03-08,89,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,2019-09-20,89,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2018-12-10,89,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
Labrinth,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,2019-10-04,89,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,153294,1
ROSALÍA,TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,2020-05-28,89,0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,129371,4
Lady Gaga,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,2020-05-22,89,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4
Juice WRLD,Smile (with The Weeknd),6wQlQrTY5mVS8EGaFZVwVF,2020-07-10,89,0.694,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.831,196180,4
Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,2019-10-04,89,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,2016-09-16,89,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
BLACKPINK,Ice Cream (with Selena Gomez),2J4P46vCFm1rPkNkp9pZWX,2020-08-28,89,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,175813,4
KAROL G,Tusa,7k4t7uLgtOxPwTpFmtJNTY,2019-11-07,89,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
Billie Eilish,my future,2ygvZOXrIeVL4xZmAWJT2C,2020-07-30,89,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,208155,4
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,89,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4
Curtis Waters,Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,2020-05-19,88,0.885,0.685,11,-6.429,0,0.0627,0.33,0.0,0.148,0.937,99.954,144000,4
Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2018-04-19,88,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4
THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,2020-04-24,88,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4
Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,2019-10-10,88,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,2019-07-26,88,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4
Jerry Di,Mi Cuarto,6fmQjRuo7XvRFCK2qex5hQ,2020-04-03,88,0.854,0.525,1,-4.426,1,0.214,0.819,0.0,0.146,0.63,97.054,197587,4
Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,2020-05-01,88,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995,172762,4
