artist,name,id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,2020-04-29,90,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,242001,4
Taylor Swift,the 1,0Jlcvv8IykzHaSmj49uNW8,2020-07-24,90,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,210252,4
Aya Nakamura,Djadja (feat. Maluma) - Remix,6AzKhCHOms83jvNVLsz0Bt,2020-06-12,90,0.791,0.682,5,-7.328,1,0.158,0.175,0.0,0.0926,0.672,98.031,166851,4
Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,2020-02-07,90,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,2020-07-03,90,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4
Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,2019-11-13,89,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
BLACKPINK,How You Like That,3vAn0qZzdyuHamcrpkfiX3,2020-06-26,89,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264,4
Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2018-12-10,89,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,2020-02-28,89,0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,295177,4
Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,89,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,4
Taylor Swift,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,2020-07-24,89,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4
Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,2020-02-28,89,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,172127,4
Trevor Daniel,Falling,4TnjEaWOeW0eKTKIEvJyCa,2018-10-05,89,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,2020-03-13,89,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
Rauw Alejandro,Elegí (feat. Dímelo Flow),50ZC4PM7hywH27RcCfViau,2020-03-26,89,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,197721,4
Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,2020-07-03,89,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,89,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,2019-07-26,89,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4
Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,2019-10-10,89,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
Dua Lipa,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,2020-03-27,89,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4
DJ Khaled,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,2020-07-16,89,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4
Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2018-04-19,88,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4
Lewis Capaldi,Before You Go,7ce20yLkzuXXLUhzIDoZih,2019-11-19,88,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
Lil Mosey,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,2020-02-06,88,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,162547,4
